pick_year,pick_round,original_team_abbr,current_owner_abbr,last_acquired_from_abbr,last_trade_date,last_trade_title
2026,7,WAS,WAS,,,
2026,8,ARI,ARI,,,
2026,8,ATL,ATL,,,
2026,8,BAL,BAL,,,
2026,8,BOS,BOS,,,
2026,8,CHC,CHC,,,
2026,8,NYM,CHC,NYM,2024-01-01,Ramon is movin' on up to the East side
2026,8,CHW,CHW,,,
2026,8,LAA,CHW,LAA,2025-07-07,"Angels embrace rebuild, Sox continue retool"
2026,8,CIN,CIN,,,
2026,8,CLE,CLE,,,
2026,8,MIA,CLE,MIA,2025-07-07,A belated Rojas processing
2026,8,COL,COL,,,
2026,8,DET,DET,,,
2026,8,HOU,HOU,,,
2026,8,KC,KC,,,
2026,8,PHI,KC,PHI,2025-07-07,Nola and Alonso trade BBQ for Cheesesteak
2026,8,LAD,LAD,,,
2026,8,MIL,MIL,,,
2026,8,MIN,MIN,,,
2026,8,NYY,NYY,,,
2026,8,OAK,OAK,,,
2026,8,PIT,PIT,,,
2026,8,SD,SD,,,
2026,8,SEA,SEA,,,
2026,8,SF,SF,,,
2026,8,STL,STL,,,
2026,8,TB,TB,,,
2026,8,TEX,TEX,,,
2026,8,TOR,TOR,,,
2026,8,WAS,WAS,,,
2026,9,ARI,ARI,,,
2026,9,ATL,ATL,,,
2026,9,CHW,ATL,CHW,2025-03-01,Braves and White Sox
2026,9,BAL,BAL,,,
2026,9,TOR,BAL,TOR,2024-01-01,This trade is for the birds!
2026,9,BOS,BOS,,,
2026,9,CHC,CHC,,,
2026,9,CIN,CIN,,,
2026,9,COL,COL,,,
2026,9,DET,DET,,,
2026,9,HOU,HOU,,,
2026,9,KC,KC,,,
2026,9,LAD,LAD,,,
2026,9,LAA,MIA,CLE,2025-07-07,A belated Rojas processing
2026,9,MIA,MIA,,,
2026,9,MIL,MIL,,,
2026,9,CLE,MIN,CLE,2024-07-19,Guardians of the 9th and Twin 26's
2026,9,MIN,MIN,,,
2026,9,NYM,NYM,,,
2026,9,NYY,NYY,,,
2026,9,OAK,OAK,,,
2026,9,PHI,PHI,,,
2026,9,PIT,PIT,,,
2026,9,SD,SD,,,
2026,9,SEA,SEA,,,
2026,9,SF,SF,,,
2026,9,TEX,SF,TEX,2025-03-01,Money for picks: The San Francisco-Texas edition
2026,9,STL,STL,,,
2026,9,TB,TB,,,
2026,9,WAS,WAS,,,
2026,10,ARI,ARI,,,
2026,10,ATL,ATL,,,
2026,10,LAD,BAL,TB,2025-03-01,Money for picks: The Baltimore-Tampa edition
2026,10,BOS,BOS,,,
2026,10,CHW,CHW,,,
2026,10,CIN,CIN,,,
2026,10,BAL,COL,BAL,2025-03-01,Rocky Mountain Lowe
2026,10,COL,COL,,,
2026,10,HOU,HOU,,,
2026,10,DET,LAD,DET,2025-03-01,"Tigers, Dodgers Close Deal for Closer"
2026,10,KC,LAD,KC,2025-03-01,Royals Add Gold[schmidt] to Treasury
2026,10,MIA,MIA,,,
2026,10,SD,MIA,SD,2025-07-07,Picks!
2026,10,MIL,MIL,,,
2026,10,CLE,MIN,CLE,2024-07-19,Guardians of the 9th and Twin 26's
2026,10,MIN,MIN,,,
2026,10,TB,MIN,TB,2024-07-19,All Your Pick Are Belong to Mark
2026,10,NYM,NYM,,,
2026,10,NYY,NYY,,,
2026,10,OAK,OAK,,,
2026,10,PHI,PHI,TB,2025-03-01,This for That
2026,10,PIT,PIT,,,
2026,10,SEA,SEA,,,
2026,10,LAA,SF,TB,2025-03-01,"Giants Sell Picks, Surprise No One"
2026,10,SF,SF,,,
2026,10,STL,STL,,,
2026,10,TOR,TEX,TOR,2025-07-07,Picked again!
2026,10,TEX,TOR,TEX,2024-01-01,"This House comes with a Loft(in), a Butler, and more!"
2026,10,CHC,WAS,CHC,2024-01-01,Cubs move assets for strong RP return from Nats
2026,10,WAS,WAS,,,
2026,11,ARI,ARI,,,
2026,11,ATL,ATL,,,
2026,11,BAL,BAL,,,
2026,11,BOS,BOS,,,
2026,11,CHC,CHC,,,
2026,11,CHW,CHW,,,
2026,11,CIN,CIN,,,
2026,11,CLE,CLE,,,
2026,11,COL,COL,,,
2026,11,DET,DET,,,
2026,11,HOU,HOU,,,
2026,11,KC,KC,,,
2026,11,LAA,LAA,,,
2026,11,LAD,LAD,,,
2026,11,MIA,MIA,,,
2026,11,MIL,MIL,,,
2026,11,MIN,MIN,,,
2026,11,NYM,NYM,,,
2026,11,NYY,NYY,,,
2026,11,OAK,OAK,,,
2026,11,PHI,PHI,,,
2026,11,PIT,PIT,,,
2026,11,SD,SD,,,
2026,11,SEA,SEA,,,
2026,11,SF,SF,,,
2026,11,STL,STL,,,
2026,11,TB,TB,,,
2026,11,TEX,TEX,,,
2026,11,TOR,TOR,,,
2026,11,WAS,WAS,,,
2026,12,ARI,ARI,,,
2026,12,ATL,ATL,,,
2026,12,BAL,BAL,,,
2026,12,BOS,BOS,,,
2026,12,CHC,CHC,,,
2026,12,CHW,CHW,,,
2026,12,CIN,CIN,,,
2026,12,CLE,CLE,,,
2026,12,COL,COL,,,
2026,12,DET,DET,,,
2026,12,HOU,HOU,,,
2026,12,KC,KC,,,
2026,12,LAA,LAA,,,
2026,12,LAD,LAD,,,
2026,12,MIA,MIA,,,
2026,12,MIL,MIL,,,
2026,12,MIN,MIN,,,
2026,12,NYM,NYM,,,
2026,12,NYY,NYY,,,
2026,12,OAK,OAK,,,
2026,12,PHI,PHI,,,
2026,12,PIT,PIT,,,
2026,12,SD,SD,,,
2026,12,SEA,SEA,,,
2026,12,SF,SF,,,
2026,12,STL,STL,,,
2026,12,TB,TB,,,
2026,12,TEX,TEX,,,
2026,12,TOR,TOR,,,
2026,12,WAS,WAS,,,
2027,1,ARI,ARI,,,
2027,1,ATL,ATL,,,
2027,1,BAL,BAL,,,
2027,1,BOS,BOS,,,
2027,1,CHC,CHC,,,
2027,1,CHW,CHW,,,
2027,1,CIN,CIN,,,
2027,1,CLE,CLE,,,
2027,1,COL,COL,,,
2027,1,DET,DET,,,
2027,1,HOU,HOU,,,
2027,1,KC,KC,,,
2027,1,LAA,LAA,,,
2027,1,LAD,LAD,,,
2027,1,MIA,MIA,,,
2027,1,MIL,MIL,,,
2027,1,MIN,MIN,,,
2027,1,NYM,NYM,,,
2027,1,NYY,NYY,,,
2027,1,OAK,OAK,,,
2027,1,PHI,PHI,,,
2027,1,PIT,PIT,,,
2027,1,SD,SD,,,
2027,1,SEA,SEA,,,
2027,1,SF,SF,,,
2027,1,STL,STL,,,
2027,1,TB,TB,,,
2027,1,TEX,TEX,,,
2027,1,TOR,TOR,,,
2027,1,WAS,WAS,,,
2027,2,ARI,ARI,,,
2027,2,ATL,ATL,,,
2027,2,BAL,BAL,,,
2027,2,BOS,BOS,,,
2027,2,CHC,CHC,,,
2027,2,CIN,CIN,,,
2027,2,CLE,CLE,,,
2027,2,COL,COL,,,
2027,2,DET,DET,,,
2027,2,HOU,HOU,,,
2027,2,KC,KC,,,
2027,2,LAA,LAA,,,
2027,2,LAD,LAD,,,
2027,2,MIA,MIA,,,
2027,2,MIL,MIL,,,
2027,2,NYM,NYM,,,
2027,2,NYY,NYY,,,
2027,2,OAK,OAK,,,
2027,2,PIT,PIT,,,
2027,2,SD,SD,,,
2027,2,SEA,SEA,,,
2027,2,SF,SF,,,
2027,2,CHW,STL,CHW,2025-07-07,So many picks to pick!
2027,2,STL,STL,,,
2027,2,MIN,TB,MIN,2025-03-01,Twins Rebuilding No More
2027,2,PHI,TB,PHI,2025-03-01,"Phillies Arm Up, Unload Springer on Rays"
2027,2,TB,TB,,,
2027,2,TEX,TEX,,,
2027,2,TOR,TOR,,,
2027,2,WAS,WAS,,,
2027,3,ARI,ARI,,,
2027,3,ATL,ATL,,,
2027,3,BAL,BAL,,,
2027,3,BOS,BOS,,,
2027,3,CHC,CHC,,,
2027,3,CHW,CHW,,,
2027,3,CIN,CIN,,,
2027,3,CLE,CLE,,,
2027,3,COL,COL,,,
2027,3,DET,DET,,,
2027,3,HOU,HOU,,,
2027,3,KC,KC,,,
2027,3,LAA,LAA,,,
2027,3,LAD,LAD,,,
2027,3,MIA,MIA,,,
2027,3,MIL,MIL,,,
2027,3,MIN,MIN,,,
2027,3,NYM,NYM,,,
2027,3,NYY,NYY,,,
2027,3,OAK,OAK,,,
2027,3,PHI,PHI,,,
2027,3,PIT,PIT,,,
2027,3,SD,SD,,,
2027,3,SEA,SEA,,,
2027,3,SF,SF,,,
2027,3,STL,STL,,,
2027,3,TB,TB,,,
2027,3,TEX,TEX,,,
2027,3,TOR,TOR,,,
2027,3,WAS,WAS,,,
2027,4,ARI,ARI,,,
2027,4,ATL,ATL,,,
2027,4,BAL,BAL,,,
2027,4,BOS,BOS,,,
2027,4,CHC,CHC,,,
2027,4,CHW,CHW,,,
2027,4,CIN,CIN,,,
2027,4,COL,COL,,,
2027,4,DET,DET,,,
2027,4,HOU,HOU,,,
2027,4,KC,KC,,,
2027,4,CLE,LAA,CLE,2025-07-07,The Gunnar trade
2027,4,LAA,LAA,,,
2027,4,LAD,LAD,,,
2027,4,MIA,MIA,,,
2027,4,MIL,MIL,,,
2027,4,MIN,MIN,,,
2027,4,NYY,NYY,,,
2027,4,OAK,OAK,,,
2027,4,PHI,PHI,,,
2027,4,PIT,PIT,,,
2027,4,SD,SD,,,
2027,4,SEA,SEA,,,
2027,4,SF,SF,,,
2027,4,STL,STL,,,
2027,4,NYM,TB,NYM,2025-03-01,NEWMAN!!!!
2027,4,TB,TB,,,
2027,4,TEX,TEX,,,
2027,4,TOR,TOR,,,
2027,4,WAS,WAS,,,
2027,5,ARI,ARI,,,
2027,5,ATL,ATL,,,
2027,5,BAL,BAL,,,
2027,5,BOS,BOS,,,
2027,5,CHC,CHC,,,
2027,5,CHW,CHW,,,
2027,5,CIN,CIN,,,
2027,5,CLE,CLE,,,
2027,5,COL,COL,,,
2027,5,DET,DET,,,
2027,5,HOU,HOU,,,
2027,5,KC,KC,,,
2027,5,LAA,LAA,,,
2027,5,LAD,LAD,,,
2027,5,MIA,MIA,,,
2027,5,MIL,MIL,,,
2027,5,MIN,MIN,,,
2027,5,NYM,NYM,,,
2027,5,NYY,NYY,,,
2027,5,OAK,OAK,,,
2027,5,PHI,PHI,,,
2027,5,PIT,PIT,,,
2027,5,SD,SD,,,
2027,5,SEA,SEA,,,
2027,5,SF,SF,,,
2027,5,STL,STL,,,
2027,5,TB,TB,,,
2027,5,TEX,TEX,,,
2027,5,TOR,TOR,,,
2027,5,WAS,WAS,,,
2027,6,ARI,ARI,,,
2027,6,ATL,ATL,,,
2027,6,BAL,BAL,,,
2027,6,BOS,BOS,,,
2027,6,CHC,CHC,,,
2027,6,CHW,CHW,,,
2027,6,CIN,CIN,,,
2027,6,CLE,CLE,,,
2027,6,COL,COL,,,
2027,6,DET,DET,,,
2027,6,HOU,HOU,,,
2027,6,KC,KC,,,
2027,6,LAA,LAA,,,
2027,6,LAD,LAD,,,
2027,6,MIA,MIA,,,
2027,6,MIL,MIL,,,
2027,6,MIN,MIN,,,
2027,6,NYM,NYM,,,
2027,6,NYY,NYY,,,
2027,6,OAK,OAK,,,
2027,6,PHI,PHI,,,
2027,6,PIT,PIT,,,
2027,6,SD,SD,,,
2027,6,SEA,SEA,,,
2027,6,SF,SF,,,
2027,6,STL,STL,,,
2027,6,TB,TB,,,
2027,6,TEX,TEX,,,
2027,6,TOR,TOR,,,
2027,6,WAS,WAS,,,
2027,7,ARI,ARI,,,
2027,7,ATL,ATL,,,
2027,7,BAL,BAL,,,
2027,7,BOS,BOS,,,
2027,7,CHC,CHC,,,
2027,7,CHW,CHW,,,
2027,7,CIN,CIN,,,
2027,7,CLE,CLE,,,
2027,7,COL,COL,,,
2027,7,DET,DET,,,
2027,7,HOU,HOU,,,
2027,7,KC,KC,,,
2027,7,LAA,LAA,,,
2027,7,LAD,LAD,,,
2027,7,MIA,MIA,,,
2027,7,MIL,MIL,,,
2027,7,MIN,MIN,,,
2027,7,NYM,NYM,,,
2027,7,NYY,NYY,,,
2027,7,OAK,OAK,,,
2027,7,PHI,PHI,,,
2027,7,PIT,PIT,,,
2027,7,SD,SD,,,
2027,7,SEA,SEA,,,
2027,7,SF,SF,,,
2027,7,STL,STL,,,
2027,7,TB,TB,,,
2027,7,TEX,TEX,,,
2027,7,TOR,TOR,,,
2027,7,WAS,WAS,,,
2027,8,ARI,ARI,,,
2027,8,ATL,ATL,,,
2027,8,BAL,BAL,,,
2027,8,BOS,BOS,,,
2027,8,CHC,CHC,,,
2027,8,CHW,CHW,,,
2027,8,CIN,CIN,,,
2027,8,CLE,CLE,,,
2027,8,COL,COL,,,
2027,8,DET,DET,,,
2027,8,HOU,HOU,,,
2027,8,LAA,LAA,,,
2027,8,LAD,LAD,,,
2027,8,KC,MIA,KC,2025-07-07,Buehler? Anyone...Buehler?
2027,8,MIA,MIA,,,
2027,8,MIL,MIL,,,
2027,8,MIN,MIN,,,
2027,8,NYM,NYM,,,
2027,8,NYY,NYY,,,
2027,8,OAK,OAK,,,
2027,8,PHI,PHI,,,
2027,8,PIT,PIT,,,
2027,8,SD,SD,,,
2027,8,SEA,SEA,,,
2027,8,SF,SF,,,
2027,8,STL,STL,,,
2027,8,TB,TB,,,
2027,8,TEX,TEX,,,
2027,8,TOR,TOR,,,
2027,8,WAS,WAS,,,
2027,9,ARI,ARI,,,
2027,9,ATL,ATL,,,
2027,9,BAL,BAL,,,
2027,9,BOS,BOS,,,
2027,9,CHC,CHC,,,
2027,9,CHW,CHW,,,
2027,9,CIN,CIN,,,
2027,9,CLE,CLE,,,
2027,9,DET,CLE,DET,2025-03-01,Bank of Cleveland issues bond to Detroit
2027,9,COL,COL,,,
2027,9,HOU,HOU,,,
2027,9,KC,KC,,,
2027,9,LAA,LAA,,,
2027,9,LAD,LAD,,,
2027,9,MIA,MIA,,,
2027,9,MIL,MIL,,,
2027,9,MIN,MIN,,,
2027,9,NYM,NYM,,,
2027,9,NYY,NYY,,,
2027,9,OAK,OAK,,,
2027,9,PHI,PHI,,,
2027,9,PIT,PIT,,,
2027,9,SEA,SEA,,,
2027,9,SF,SF,,,
2027,9,STL,STL,,,
2027,9,SD,TB,SD,2025-07-07,Picked thrice!
2027,9,TB,TB,,,
2027,9,TEX,TEX,,,
2027,9,TOR,TOR,,,
2027,9,WAS,WAS,,,
2027,10,ARI,ARI,,,
2027,10,ATL,ATL,,,
2027,10,BAL,BAL,,,
2027,10,BOS,BOS,,,
2027,10,CHC,CHC,,,
2027,10,CIN,CIN,,,
2027,10,COL,COL,,,
2027,10,CLE,DET,CLE,2025-03-01,Bank of Cleveland issues bond to Detroit
2027,10,DET,DET,,,
2027,10,HOU,HOU,,,
2027,10,KC,KC,,,
2027,10,CHW,LAA,CHW,2025-07-07,"Angels embrace rebuild, Sox continue retool"
2027,10,LAA,LAA,,,
2027,10,LAD,LAD,,,
2027,10,MIA,MIA,,,
2027,10,SD,MIA,SD,2025-07-07,Picks!
2027,10,MIL,MIL,,,
2027,10,MIN,MIN,,,
2027,10,NYM,NYM,,,
2027,10,NYY,NYY,,,
2027,10,OAK,OAK,,,
2027,10,PHI,PHI,,,
2027,10,PIT,PIT,,,
2027,10,SEA,SEA,,,
2027,10,SF,SF,,,
2027,10,STL,STL,,,
2027,10,TB,TB,,,
2027,10,TEX,TEX,,,
2027,10,TOR,TEX,TOR,2025-07-07,Picked again!
2027,10,WAS,WAS,,,
2027,11,ARI,ARI,,,
2027,11,ATL,ATL,,,
2027,11,BAL,BAL,,,
2027,11,BOS,BOS,,,
2027,11,CHC,CHC,,,
2027,11,CHW,CHW,,,
2027,11,CIN,CIN,,,
2027,11,CLE,CLE,,,
2027,11,COL,COL,,,
2027,11,DET,DET,,,
2027,11,HOU,HOU,,,
2027,11,KC,KC,,,
2027,11,LAA,LAA,,,
2027,11,LAD,LAD,,,
2027,11,MIA,MIA,,,
2027,11,MIL,MIL,,,
2027,11,MIN,MIN,,,
2027,11,NYM,NYM,,,
2027,11,NYY,NYY,,,
2027,11,OAK,OAK,,,
2027,11,PHI,PHI,,,
2027,11,PIT,PIT,,,
2027,11,SD,SD,,,
2027,11,SEA,SEA,,,
2027,11,SF,SF,,,
2027,11,STL,STL,,,
2027,11,TB,TB,,,
2027,11,TEX,TEX,,,
2027,11,TOR,TOR,,,
2027,11,WAS,WAS,,,
2027,12,ARI,ARI,,,
2027,12,ATL,ATL,,,
2027,12,BAL,BAL,,,
2027,12,BOS,BOS,,,
2027,12,CHC,CHC,,,
2027,12,CHW,CHW,,,
2027,12,CIN,CIN,,,
2027,12,CLE,CLE,,,
2027,12,COL,COL,,,
2027,12,DET,DET,,,
2027,12,HOU,HOU,,,
2027,12,KC,KC,,,
2027,12,LAA,LAA,,,
2027,12,LAD,LAD,,,
2027,12,MIA,MIA,,,
2027,12,MIL,MIL,,,
2027,12,MIN,MIN,,,
2027,12,NYM,NYM,,,
2027,12,NYY,NYY,,,
2027,12,OAK,OAK,,,
2027,12,PHI,PHI,,,
2027,12,PIT,PIT,,,
2027,12,SD,SD,,,
2027,12,SEA,SEA,,,
2027,12,SF,SF,,,
2027,12,STL,STL,,,
2027,12,TB,TB,,,
2027,12,TEX,TEX,,,
2027,12,TOR,TOR,,,
2027,12,WAS,WAS,,,
2028,1,ARI,ARI,,,
2028,1,ATL,ATL,,,
2028,1,BAL,BAL,,,
2028,1,BOS,BOS,,,
2028,1,CHC,CHC,,,
2028,1,CHW,CHW,,,
2028,1,CIN,CIN,,,
2028,1,CLE,CLE,,,
2028,1,COL,COL,,,
2028,1,DET,DET,,,
2028,1,HOU,HOU,,,
2028,1,KC,KC,,,
2028,1,LAA,LAA,,,
2028,1,LAD,LAD,,,
2028,1,MIA,MIA,,,
2028,1,MIL,MIL,,,
2028,1,MIN,MIN,,,
2028,1,NYM,NYM,,,
2028,1,NYY,NYY,,,
2028,1,OAK,OAK,,,
2028,1,PHI,PHI,,,
2028,1,PIT,PIT,,,
2028,1,SD,SD,,,
2028,1,SEA,SEA,,,
2028,1,SF,SF,,,
2028,1,STL,STL,,,
2028,1,TB,TB,,,
2028,1,TEX,TEX,,,
2028,1,TOR,TOR,,,
2028,1,WAS,WAS,,,
2028,2,ARI,ARI,,,
2028,2,ATL,ATL,,,
2028,2,BAL,BAL,,,
2028,2,BOS,BOS,,,
2028,2,CHC,CHC,,,
2028,2,CHW,CHW,,,
2028,2,CIN,CIN,,,
2028,2,CLE,CLE,,,
2028,2,COL,COL,,,
2028,2,DET,DET,,,
2028,2,HOU,HOU,,,
2028,2,KC,KC,,,
2028,2,LAA,LAA,,,
2028,2,LAD,LAD,,,
2028,2,MIA,MIA,,,
2028,2,MIL,MIL,,,
2028,2,MIN,MIN,,,
2028,2,NYM,NYM,,,
2028,2,NYY,NYY,,,
2028,2,OAK,OAK,,,
2028,2,PHI,PHI,,,
2028,2,PIT,PIT,,,
2028,2,SD,SD,,,
2028,2,SEA,SEA,,,
2028,2,SF,SF,,,
2028,2,STL,STL,,,
2028,2,TB,TB,,,
2028,2,TEX,TEX,,,
2028,2,TOR,TOR,,,
2028,2,WAS,WAS,,,
2028,3,ARI,ARI,,,
2028,3,ATL,ATL,,,
2028,3,BAL,BAL,,,
2028,3,BOS,BOS,,,
2028,3,CHC,CHC,,,
2028,3,CHW,CHW,,,
2028,3,CIN,CIN,,,
2028,3,CLE,CLE,,,
2028,3,COL,COL,,,
2028,3,DET,DET,,,
2028,3,HOU,HOU,,,
2028,3,KC,KC,,,
2028,3,LAA,LAA,,,
2028,3,LAD,LAD,,,
2028,3,MIA,MIA,,,
2028,3,MIL,MIL,,,
2028,3,MIN,MIN,,,
2028,3,NYM,NYM,,,
2028,3,NYY,NYY,,,
2028,3,OAK,OAK,,,
2028,3,PHI,PHI,,,
2028,3,PIT,PIT,,,
2028,3,SD,SD,,,
2028,3,SEA,SEA,,,
2028,3,SF,SF,,,
