id,pick_label,round,pick,team,player_id,name,position,dob,franchise,mlbamid,mlb_org,fg_30,fg_fv,mlb_30,mlb_fv,fg100,mlb100,drafted_at
35,2.05,2,5,"New York Yankees",3089,"Ixan Henderson",P,2002-01-29,"New York Yankees",809100,"St. Louis Cardinals",13,42,15,45,,,2025-10-24T00:00:23
36,2.06,2,6,"Pittsburgh Pirates",3637,"Gavin Fien",SS,2007-03-08,"Pittsburgh Pirates",815818,"Texas Rangers",10,42,2,50,,,2025-10-23T19:01:22
37,2.07,2,7,"Minnesota Twins",3645,"Xavier Neyens",SS,2006-10-29,"Minnesota Twins",815832,"Houston Astros",4,45,3,50,,,2025-10-23T19:01:22
38,2.08,2,8,"Seattle Mariners",4860,"Diego Tornes",OF,2008-07-03,"Seattle Mariners",829053,"Atlanta Braves",4,47,15,45,125,,2025-10-23T20:12:34
39,2.09,2,9,"Tampa Bay Rays",1528,"Marek Houston",SS,2004-04-14,"Tampa Bay Rays",701339,"Minnesota Twins",13,45,7,50,,,2025-10-23T21:03:04
40,2.10,2,10,"Atlanta Braves",4843,"Andrew Salas",SS,2008-03-04,"Atlanta Braves",829035,"Miami Marlins",8,45,6,50,,,2025-10-23T21:07:32
41,2.11,2,11,"Los Angeles Angels",4692,"Daniel Pierce",SS,2006-08-04,"Los Angeles Angels",828084,"Tampa Bay Rays",23,42,4,50,,,2025-10-24T02:05:22
42,2.12,2,12,"New York Mets",76,"Carlos Narváez",C,1998-11-26,"New York Mets",665966,"New York Yankees",,,,,,,2025-10-24T02:14:43
43,2.13,2,13,"Los Angeles Angels",4846,"Cris Rodriguez",OF,2008-01-28,"Los Angeles Angels",829038,"Detroit Tigers",8,45,8,50,,,2025-10-24T02:21:42
44,2.14,2,14,"Arizona Diamondbacks",4923,"Nick Becker",SS,2006-12-04,"Arizona Diamondbacks",829306,"Seattle Mariners",12,42,13,45,,,2025-10-24T03:25:39
45,2.15,2,15,"Minnesota Twins",4847,"Dorian Soto",SS,2008-02-14,"Minnesota Twins",829039,"Boston Red Sox",8,45,11,45,,,2025-10-24T03:42:23
46,2.16,2,16,"Cleveland Guardians",3638,"Sean Gamble",OF,2006-07-06,"Cleveland Guardians",815819,"Kansas City Royals",8,42,3,50,,,2025-10-24T04:25:16
47,2.17,2,17,"Boston Red Sox",596,"Isaac Collins",LF,1997-07-22,"Boston Red Sox",686555,"Milwaukee Brewers",,,,,,,2025-10-24T04:31:25
48,2.18,2,18,"Cincinnati Reds",2412,"Devin Taylor",OF,2004-01-06,"Cincinnati Reds",805127,Athletics,6,45,6,45,,,2025-10-24T16:20:50
49,2.19,2,19,"Boston Red Sox",1115,"Chad Patrick",P,1998-08-14,"Boston Red Sox",694477,"Milwaukee Brewers",,,,,,,2025-10-24T17:46:35
50,2.20,2,20,"San Diego Padres",2355,"Brendan Summerhill",OF,2003-11-13,"San Diego Padres",804911,"Tampa Bay Rays",20,42,8,50,,,2025-10-24T18:50:05
51,2.21,2,21,"Los Angeles Dodgers",3649,"Josh Hammond",SS,2006-09-21,"Los Angeles Dodgers",815843,"Kansas City Royals",10,42,4,50,,,2025-10-24T19:23:14
52,2.22,2,22,"Texas Rangers",2562,"Luke Stevenson",C,2004-07-22,"Texas Rangers",806233,"Seattle Mariners",14,42,10,50,,,2025-10-24T19:43:14
53,2.23,2,23,"Toronto Blue Jays",1810,"Cam Cannarella",OF,2003-09-06,"Toronto Blue Jays",703448,"Miami Marlins",11,45,7,50,,,2025-10-24T20:04:37
54,2.24,2,24,"Colorado Rockies",2421,"Caden Bodine",C,2003-12-02,"Colorado Rockies",805207,"Baltimore Orioles",12,45,10,45,,,2025-10-25T04:34:01
55,2.25,2,25,"Tampa Bay Rays",2316,"Charles Davalan",OF,2003-12-16,"Tampa Bay Rays",804560,"Los Angeles Dodgers",14,42,15,50,,,2025-10-25T11:09:17
56,2.26,2,26,"Los Angeles Dodgers",2369,"Riley Quick",P,2004-04-29,"Los Angeles Dodgers",804981,"Minnesota Twins",17,42,11,50,,,2025-10-25T12:49:50
57,2.27,2,27,"San Diego Padres",4716,"Slater de Brun",OF,2007-06-08,"San Diego Padres",828173,"Baltimore Orioles",20,42,6,50,,,2025-10-25T16:49:13
58,2.28,2,28,"Washington Nationals",4810,"Ching-Hsien Ko",OF,2006-08-11,"Washington Nationals",828667,"Los Angeles Dodgers",36,37,10,50,,,2025-10-25T16:51:20
59,2.29,2,29,"Houston Astros",1603,"Tanner McDougal",P,2003-04-09,"Houston Astros",701780,"Chicago White Sox",6,45,7,45,,,2025-10-25T17:55:49
60,2.30,2,30,"Detroit Tigers",2302,"Patrick Forbes",P,2004-07-11,"Detroit Tigers",804467,"Arizona Diamondbacks",12,42,8,45,,,2025-10-25T23:54:20
61,C2.01,2,31,"Atlanta Braves",5078,"Adrian Pena",P,2008-05-02,"Atlanta Braves",829763,"Miami Marlins",13,45,,,,,2025-10-26T01:06:51
62,C2.02,2,32,"Chicago White Sox",4733,"Jaden Fauske",OF,2006-11-21,"Chicago White Sox",828262,"Chicago White Sox",7,42,6,50,,,2025-10-26T21:18:23
63,C2.03,2,33,"Kansas City Royals",3648,"Quentin Young",SS,2007-03-02,"Kansas City Royals",815839,"Minnesota Twins",19,42,13,45,,,2025-10-27T00:20:25
64,C2.04,2,34,"Chicago Cubs",3566,"Josh Adamczewski",SS,2005-05-10,"Chicago Cubs",815304,"Milwaukee Brewers",13,42,13,45,,,2025-10-27T16:11:32
65,C2.05,2,35,"Houston Astros",5688,"Michael Oliveto",C,2007-02-03,"Houston Astros",834672,"Detroit Tigers",12,42,18,40,,,2025-10-27T18:23:43
66,C2.06,2,36,"Detroit Tigers",3683,"Angel Cervantes",P,2007-08-21,"Detroit Tigers",815979,zzz_amateur,,,,,,,2025-10-27T18:36:46
67,3.01,3,1,"New York Yankees",2283,"Devin Fitz-Gerald",SS,2005-08-17,"New York Yankees",803849,"Texas Rangers",6,45,12,45,,,2025-10-27T19:06:53
68,3.02,3,2,"Milwaukee Brewers",3700,"Landon Harmon",P,2006-09-09,"Milwaukee Brewers",816102,"Washington Nationals",9,45,6,50,,,2025-10-27T20:54:09
69,3.03,3,3,"Texas Rangers",4540,"Aaron Watson",P,2007-01-05,"Texas Rangers",826209,"Cincinnati Reds",15,42,10,50,,,2025-10-27T21:04:25
70,3.04,3,4,"Washington Nationals",4876,"Elorky Rodriguez",OF,2007-12-26,"Washington Nationals",829069,"Texas Rangers",31,37,10,45,,,2025-10-27T22:14:31
71,3.05,3,5,"New York Yankees",1839,"Ethan Frey",OF,2004-03-15,"New York Yankees",703676,"Houston Astros",26,37,9,45,,,2025-10-28T03:47:27
72,3.06,3,6,"Pittsburgh Pirates",3361,"Humberto Cruz",P,2006-12-18,"Pittsburgh Pirates",814232,"San Diego Padres",3,45,3,50,,,2025-10-28T03:51:22
73,3.07,3,7,"Minnesota Twins",450,"Luis Mey",P,2001-06-24,"Minnesota Twins",682825,"Cincinnati Reds",,,,,,,2025-10-28T04:13:30
74,3.08,3,8,"Seattle Mariners",3112,"Bryce Mayer",P,2002-02-11,"Seattle Mariners",809343,"Houston Astros",6,45,11,45,,,2025-10-28T14:07:52
75,3.09,3,9,"Philadelphia Phillies",3087,"Murf Gray",3B,2003-12-30,"Philadelphia Phillies",809092,"Pittsburgh Pirates",10,45,23,45,,,2025-10-28T14:47:18
76,3.10,3,10,"Atlanta Braves",3703,"Tate Southisene",SS,2006-10-06,"Atlanta Braves",816111,"Atlanta Braves",9,42,3,50,,,2025-10-28T17:03:54
77,3.11,3,11,"Los Angeles Angels",3820,"Hayden Alvarez",OF,2007-03-19,"Los Angeles Angels",820986,"Los Angeles Angels",13,40,24,40,,,2025-10-28T17:14:53
78,3.12,3,12,"Texas Rangers",1373,"Bradgley Rodriguez",P,2003-11-16,"Texas Rangers",699134,"San Diego Padres",8,42,6,45,,,2025-10-28T17:25:04
79,3.13,3,13,"St. Louis Cardinals",3600,"Jack Bauer",P,2007-01-08,"St. Louis Cardinals",815627,zzz_amateur,,,,,,,2025-10-28T17:35:32
80,3.14,3,14,"Tampa Bay Rays",1537,"Marco Dinges",C,2003-09-05,"Tampa Bay Rays",701392,"Milwaukee Brewers",23,40,10,45,,,2025-10-28T17:39:50
81,3.15,3,15,"Baltimore Orioles",3965,"Dauri Fernandez",2B,2007-03-07,"Baltimore Orioles",821171,"Cleveland Guardians",19,42,22,40,,,2025-10-28T18:47:18
82,3.16,3,16,"Los Angeles Angels",4239,"Alex Lodise",SS,2004-03-10,"Los Angeles Angels",822676,"Atlanta Braves",14,40,4,50,,,2025-10-28T18:51:39
83,3.17,3,17,"Boston Red Sox",58,"Jake Mangum",LF,1996-03-08,"Boston Red Sox",663968,"Tampa Bay Rays",,,,,,,2025-10-28T19:04:36
84,3.18,3,18,"Cincinnati Reds",2266,"Christian Oppor",P,2004-07-23,"Cincinnati Reds",803291,"Chicago White Sox",9,42,8,45,,,2025-10-28T22:07:40
85,3.19,3,19,"Oakland Athletics",5564,"Matthew Fisher",P,2006-03-14,"Oakland Athletics",832455,"Philadelphia Phillies",8,45,10,45,,,2025-10-29T12:37:33
86,3.20,3,20,"San Diego Padres",2280,"Jordan Yost",SS,2006-12-21,"San Diego Padres",803723,"Detroit Tigers",9,42,9,50,,,2025-10-29T15:47:19
87,3.21,3,21,"Los Angeles Dodgers",2488,"AJ Russell",P,2004-06-29,"Los Angeles Dodgers",805706,"Texas Rangers",16,42,5,45,,,2025-10-29T15:56:18
88,3.22,3,22,"Chicago White Sox",4853,"Yorger Bautista",OF,2007-09-19,"Chicago White Sox",829045,"Seattle Mariners",11,45,11,45,,,2025-10-29T16:03:27
89,3.23,3,23,"Toronto Blue Jays",1714,"Zachary Root",P,2004-02-06,"Toronto Blue Jays",702539,"Los Angeles Dodgers",26,40,14,50,,,2025-10-29T16:30:30
90,3.24,3,24,"Baltimore Orioles",3663,"Edgar Montero",SS,2006-11-21,"Baltimore Orioles",815911,"Oakland Athletics",13,40,24,40,,,2025-10-29T17:11:46
91,3.25,3,25,"Kansas City Royals",614,"Ryan Bergert",P,2000-03-08,"Kansas City Royals",686701,"San Diego Padres",,,,,,,2025-10-29T18:52:04
92,3.26,3,26,"Chicago Cubs",2237,"Sam Antonacci",IF,2003-02-06,"Chicago Cubs",803011,"Chicago White Sox",44,35,11,45,,,2025-10-30T13:14:59
93,3.27,3,27,"Cleveland Guardians",1704,"J.D. Thompson",P,2003-09-28,"Cleveland Guardians",702505,"Milwaukee Brewers",12,45,14,45,,,2025-10-30T14:25:49
94,3.28,3,28,"Tampa Bay Rays",4865,"Gabriel Davalillo",C,2007-11-06,"Tampa Bay Rays",829058,"Los Angeles Angels",20,40,11,45,,,2025-10-30T14:38:33
95,3.29,3,29,"Houston Astros",3865,"Roldy Brito",3B,2007-04-08,"Houston Astros",821041,"Colorado Rockies",,,,,,,2025-10-30T16:02:16
96,3.30,3,30,"Detroit Tigers",3101,"Anthony Eyanson",P,2004-10-09,"Detroit Tigers",809254,"Boston Red Sox",18,42,13,45,,,2025-10-30T16:22:41
97,C3.01,3,31,"Chicago Cubs",3434,"Ethan Pecko",P,2002-08-25,"Chicago Cubs",814490,"Houston Astros",9,42,12,45,,,2025-10-30T17:28:56
98,C3.02,3,32,"Detroit Tigers",3642,"Ryan Mitchell",OF,2007-01-21,"Detroit Tigers",815829,"St. Louis Cardinals",16,42,10,45,,,2025-10-30T18:08:38
99,4.01,4,1,"Tampa Bay Rays",2675,"Nathan Flewelling",C,2006-11-11,"Tampa Bay Rays",807083,"Tampa Bay Rays",34,40,27,40,,,2025-10-30T18:11:02
100,4.02,4,2,"Milwaukee Brewers",3536,"Nestor German",P,2002-02-26,"Milwaukee Brewers",815148,"Baltimore Orioles",9,45,14,45,,,2025-10-31T04:29:56
101,4.03,4,3,"Texas Rangers",1699,"Mitch Voit",2B,2004-09-30,"Texas Rangers",702491,"New York Mets",13,40,9,45,,,2025-10-31T05:11:55
102,4.04,4,4,"Washington Nationals",4838,"Briggs McKenzie",P,2006-10-11,"Washington Nationals",828987,"Atlanta Braves",29,37,5,50,,,2025-10-31T12:23:36
103,4.05,4,5,"New York Yankees",1378,"Leandro Lopez",P,2002-06-17,"New York Yankees",699214,"Texas Rangers",51,35,30,40,,,2025-10-31T15:10:17
104,4.06,4,6,"Pittsburgh Pirates",2314,"Braden Nett",P,2002-06-18,"Pittsburgh Pirates",804556,"San Diego Padres",10,42,4,50,,,2025-10-31T16:14:07
105,4.07,4,7,"Minnesota Twins",4726,"Alec Blair",OF,2006-10-26,"Minnesota Twins",828231,zzz_amateur,,,,,,,2025-10-31T16:17:50
106,4.08,4,8,"Seattle Mariners",4839,"Johnny Slawinski",P,2007-02-26,"Seattle Mariners",828989,"Los Angeles Angels",17,40,4,50,,,2025-10-31T16:31:05
107,4.09,4,9,"Philadelphia Phillies",4867,"Deivid Coronil",SS,2007-10-04,"Philadelphia Phillies",829060,"San Diego Padres",6,42,9,45,,,2025-10-31T21:44:08
108,4.10,4,10,"Atlanta Braves",1100,"T.J. Nichols",P,2002-06-24,"Atlanta Braves",694375,"Tampa Bay Rays",39,40,20,45,,,2025-10-31T20:54:08
109,4.11,4,11,"Los Angeles Angels",4727,"Cooper Flemming",SS,2006-08-05,"Los Angeles Angels",828237,"Tampa Bay Rays",30,40,16,45,,,2025-10-31T21:11:59
110,4.12,4,12,"Texas Rangers",2261,"Max Belyeu",OF,2003-12-15,"Texas Rangers",803284,"Colorado Rockies",29,40,7,50,,,2025-10-31T21:37:52
111,4.13,4,13,"St. Louis Cardinals",3130,"Kaeden Kent",SS,2003-08-29,"St. Louis Cardinals",809763,"New York Yankees",14,40,12,40,,,2025-11-01T01:03:39
112,4.14,4,14,"Arizona Diamondbacks",3552,"Keyner Martinez",P,2004-08-16,"Arizona Diamondbacks",815212,"San Francisco Giants",31,37,11,45,,,2025-11-01T01:14:44
113,4.15,4,15,"Tampa Bay Rays",1929,"Wellington Aracena",P,2004-12-27,"Tampa Bay Rays",800286,"New York Mets",15,45,29,40,,,2025-11-01T01:18:42
114,4.16,4,16,"Pittsburgh Pirates",3636,"Brady Ebel",SS,2007-07-25,"Pittsburgh Pirates",815816,"Milwaukee Brewers",27,40,11,45,,,2025-11-01T01:22:55
115,4.17,4,17,"Boston Red Sox",207,"Jack Dreyer",P,1999-02-27,"Boston Red Sox",676263,"Los Angeles Dodgers",,,,,,,2025-11-01T03:39:31
116,4.18,4,18,"Cincinnati Reds",4342,"Kane Kepley",OF,2004-02-14,"Cincinnati Reds",823807,"Chicago Cubs",18,40,12,45,,,2025-11-01T16:22:52
117,4.19,4,19,"Oakland Athletics",1347,"Antwone Kelly",P,2003-09-01,"Oakland Athletics",699008,"Pittsburgh Pirates",,,,,,,2025-11-01T18:54:10
118,4.20,4,20,"Texas Rangers",3643,"Dean Moss",OF,2006-04-17,"Texas Rangers",815830,"Tampa Bay Rays",25,42,14,45,,,2025-11-01T19:01:19
119,4.21,4,21,"Los Angeles Dodgers",4732,"Cameron Appenzeller",P,2007-01-18,"Los Angeles Dodgers",828258,zzz_amateur,,,,,,,2025-11-01T20:52:53
120,4.22,4,22,"Chicago White Sox",2906,"Jose Urbina",P,2005-11-02,"Chicago White Sox",808250,"Tampa Bay Rays",16,42,12,45,,,2025-11-01T21:10:30
121,4.23,4,23,"Minnesota Twins",5034,"Darell Morel",SS,2007-09-15,"Minnesota Twins",829716,"Pittsburgh Pirates",27,40,16,45,,,2025-11-01T21:22:27
122,4.24,4,24,"Colorado Rockies",3471,"Henry Ford",OF,2004-07-27,"Colorado Rockies",814822,zzz_amateur,,,,,,,2025-11-01T22:11:56
123,4.25,4,25,"Kansas City Royals",5482,"Josh Owens",TWP,2007-01-08,"Kansas City Royals",831384,"Texas Rangers",13,42,9,45,,,2025-11-02T15:48:16
124,4.26,4,26,"Chicago Cubs",4866,"Johan De Los Santos",SS,2008-07-24,"Chicago Cubs",829059,"Pittsburgh Pirates",23,42,,,,,2025-11-03T15:10:14
125,4.27,4,27,"Cleveland Guardians",3196,"Jack Wenninger",P,2002-03-14,"Cleveland Guardians",811307,"New York Mets",14,40,13,45,,,2025-11-03T15:38:30
126,4.28,4,28,"Texas Rangers",508,"Jesus Rodriguez",C,2002-04-23,"Texas Rangers",683679,"New York Yankees",9,42,16,45,,,2025-11-03T15:56:03
127,4.29,4,29,"Houston Astros",2375,"Henry Godbout",SS,2003-11-06,"Houston Astros",804995,"Boston Red Sox",14,42,19,45,,,2025-11-03T16:58:44
128,4.30,4,30,"Detroit Tigers",2540,"Dean Curley",SS,2004-04-15,"Detroit Tigers",806053,"Cleveland Guardians",32,40,10,45,,,2025-11-03T17:04:54
129,C4.01,4,31,"Detroit Tigers",1840,"Brandon Compton",OF,2003-10-27,"Detroit Tigers",703680,"Miami Marlins",35,40,13,45,,,2025-11-03T17:05:03
130,5.01,5,1,"Toronto Blue Jays",4557,"Ronny Cruz",SS,2006-08-24,"Toronto Blue Jays",826723,"Washington Nationals",14,42,17,45,,,2025-11-03T22:56:27
131,5.02,5,2,"Milwaukee Brewers",2559,"Alfonsin Rosario",OF,2004-06-21,"Milwaukee Brewers",806210,"Chicago Cubs",31,40,12,45,,,2025-11-04T04:54:03
132,5.03,5,3,"Toronto Blue Jays",801,"Braxton Bragg",P,2000-10-28,"Toronto Blue Jays",688867,"Baltimore Orioles",10,45,15,45,,,2025-11-04T05:09:34
133,5.04,5,4,"Washington Nationals",5102,"Miguel Hernandez",SS,2008-06-02,"Washington Nationals",829791,"St. Louis Cardinals",,,,,,,2025-11-04T15:14:03
134,5.05,5,5,"New York Yankees",5350,"Aaron Walton",OF,2004-05-14,"New York Yankees",830239,"Cleveland Guardians",38,40,19,40,,,2025-11-04T17:01:02
135,5.06,5,6,"Pittsburgh Pirates",3685,"Coy James",SS,2007-02-16,"Pittsburgh Pirates",815983,"Washington Nationals",15,42,9,45,,,2025-11-04T17:06:29
136,5.07,5,7,"Minnesota Twins",4815,"Taitn Gray",C,2007-08-16,"Minnesota Twins",828685,"Tampa Bay Rays",22,42,26,40,,,2025-11-04T17:08:36
137,5.08,5,8,"Seattle Mariners",4864,"Cristopher Polanco",SS,2008-01-03,"Seattle Mariners",829057,"Toronto Blue Jays",6,45,,,,,2025-11-04T18:01:13
138,5.09,5,9,"Philadelphia Phillies",2432,"Cade Obermueller",P,2003-07-28,"Philadelphia Phillies",805261,"Philadelphia Phillies",21,40,7,50,,,2025-11-04T19:18:31
139,5.10,5,10,"Atlanta Braves",2631,"Sheng-En Lin",SS,2005-09-01,"Atlanta Braves",806823,"Cincinnati Reds",14,42,14,45,,,2025-11-04T19:22:34
140,5.11,5,11,"Los Angeles Angels",5658,"Ryan Wideman",OF,2003-11-04,"Los Angeles Angels",834240,"San Diego Padres",,,13,40,,,2025-11-04T19:42:21
141,5.12,5,12,"New York Mets",749,"Bryan King",P,1996-11-05,"New York Mets",687911,"Houston Astros",,,,,,,2025-11-04T19:56:16
142,5.13,5,13,"St. Louis Cardinals",4878,"Warren Calcaño",SS,2007-10-17,"St. Louis Cardinals",829071,"Kansas City Royals",17,40,17,40,,,2025-11-04T20:07:23
143,5.14,5,14,"Arizona Diamondbacks",4751,"Dean Livingston",P,2006-09-07,"Arizona Diamondbacks",828344,"Arizona Diamondbacks",,,16,45,,,2025-11-04T20:11:51
144,5.15,5,15,"Baltimore Orioles",4673,"Wei-En Lin",P,2005-11-04,"Baltimore Orioles",827734,Athletics,,,20,40,,,2025-11-04T20:49:43
145,5.16,5,16,"Cleveland Guardians",5667,"Jake Cook",OF,2003-07-13,"Cleveland Guardians",834404,"Toronto Blue Jays",24,40,11,45,,,2025-11-05T02:20:07
146,5.17,5,17,"Boston Red Sox",5128,"Juan Tomas",SS,2007-11-28,"Boston Red Sox",829823,"Chicago Cubs",12,42,16,45,,,2025-11-05T03:52:18
147,5.18,5,18,"Cincinnati Reds",2363,"Gage Stanifer",P,2003-11-18,"Cincinnati Reds",804948,"Toronto Blue Jays",,,6,45,,,2025-11-05T16:11:13
148,5.19,5,19,"Oakland Athletics",1742,"Korbyn Dickerson",OF,2003-10-30,"Oakland Athletics",702668,"Seattle Mariners",17,40,17,45,,,2025-11-05T17:43:09
149,5.20,5,20,"San Diego Padres",2309,"Joseph Dzierwa",P,2004-04-21,"San Diego Padres",804530,"Baltimore Orioles",32,40,16,45,,,2025-11-05T20:27:52
150,5.21,5,21,"Los Angeles Dodgers",4880,"Brailyn Antunez",OF,2007-11-30,"Los Angeles Dodgers",829073,"Milwaukee Brewers",26,40,22,45,,,2025-11-05T20:57:20
151,5.22,5,22,"Los Angeles Angels",4184,"A.J. Causey",P,2002-11-19,"Los Angeles Angels",822067,"Kansas City Royals",33,37,,,,,2025-11-05T21:01:25
152,5.23,5,23,"St. Louis Cardinals",1718,"Mason Morris",P,2003-08-21,"St. Louis Cardinals",702568,"Cincinnati Reds",12,42,15,45,,,2025-11-06T10:57:42
153,5.24,5,24,"Texas Rangers",966,"Henry Baez",P,2002-10-12,"Texas Rangers",692013,"San Diego Padres",25,37,8,45,,,2025-11-06T15:43:29
154,5.25,5,25,"Kansas City Royals",2360,"Cam Leiter",P,2004-01-28,"Kansas City Royals",804942,"Los Angeles Dodgers",35,40,22,40,,,2025-11-06T15:44:58
155,5.26,5,26,"Houston Astros",1388,"Jose Olivares",P,2003-01-18,"Houston Astros",699276,"Minnesota Twins",16,45,24,45,,,2025-11-06T17:38:03
